Date,Open,High,Low,Close,Adj Close,Volume
2020-06-23,21.219999,22.070000,21.139999,21.650000,20.944658,78950900
2020-06-24,21.490000,21.559999,20.709999,21.000000,20.315836,65162400
2020-06-25,20.910000,21.469999,20.730000,21.469999,20.770521,47263500
2020-06-26,21.209999,21.469999,20.780001,20.840000,20.161047,55499300
2020-06-29,21.100000,21.660000,20.930000,21.660000,20.954332,59809600
2020-06-30,21.340000,21.799999,21.090000,21.549999,20.847916,65010600
2020-07-01,21.750000,22.250000,21.520000,21.709999,21.002701,78983900
2020-07-02,22.100000,22.209999,21.860001,22.059999,21.341301,56345900
2020-07-03,21.950001,22.180000,21.799999,21.980000,21.263906,24060000
2020-07-06,22.389999,22.860001,22.309999,22.510000,21.776640,58070900
2020-07-07,22.340000,22.469999,22.139999,22.230000,21.505762,46591300
2020-07-08,22.450001,22.760000,22.400000,22.650000,21.912079,49136300
2020-07-09,22.780001,22.809999,22.059999,22.139999,21.418694,57151500
2020-07-10,22.190001,22.650000,22.059999,22.510000,21.776640,57428300
2020-07-13,22.610001,22.650000,22.160000,22.160000,21.438042,55425500
2020-07-14,22.129999,22.959999,21.860001,22.900000,22.153933,89380500
2020-07-15,23.200001,23.430000,22.850000,23.340000,22.579599,58390600
2020-07-16,23.160000,23.280001,22.520000,22.719999,21.979797,69698700
2020-07-17,22.830000,23.030001,22.580000,22.740000,21.999146,49927600
2020-07-20,22.700001,22.910000,22.520000,22.740000,21.999146,48679800
2020-07-21,23.150000,23.600000,23.139999,23.370001,22.608624,101769600
2020-07-22,23.299999,23.410000,23.010000,23.049999,22.299047,43085500
2020-07-23,23.160000,23.230000,22.540001,22.570000,21.835121,64072100
2020-07-24,22.540001,23.059999,22.420000,22.730000,21.989912,43380300
2020-07-27,22.870001,23.250000,22.450001,23.200001,22.444611,56539600
2020-07-28,23.040001,23.320000,22.799999,22.799999,22.057632,48353000
2020-07-29,23.030001,23.250000,22.920000,23.170000,22.415586,44011500
2020-07-30,22.920000,22.920000,22.500000,22.820000,22.076982,57859000
2020-07-31,22.920000,23.139999,22.160000,22.200001,21.477171,75397300
2020-08-03,22.540001,22.549999,21.719999,21.799999,21.090193,63598500
2020-08-04,21.459999,22.049999,21.250000,21.780001,21.070845,63011900
2020-08-05,22.230000,23.280001,22.230000,23.180000,22.425261,137214700
2020-08-06,23.280001,23.530001,23.010000,23.219999,22.463957,56375100
2020-08-07,22.860001,22.910000,22.549999,22.790001,22.047960,56040200
2020-08-10,22.900000,23.450001,22.639999,23.450001,22.686470,52390100
2020-08-11,23.709999,23.879999,23.059999,23.080000,22.328516,66342300
2020-08-12,23.360001,23.680000,23.080000,23.480000,22.715492,67008500
2020-08-13,23.450001,23.580000,22.709999,22.840000,22.096331,44588200
2020-08-14,22.770000,22.980000,22.530001,22.670000,21.931866,38422000
2020-08-17,22.680000,22.840000,22.150000,22.600000,21.864145,52064300
2020-08-18,22.930000,23.240000,22.770000,23.020000,22.270472,49361300
